label,run_id,object_level,eval_space,target_col,rmse,mae,r2,skill_score,complexity,complexity_name,rmse_ratio_vs_teacher,rmse_gap_vs_teacher,notes
direct_kan_teacher,paperref_20260306_121725_v2__s1_delta_net_load_h6,teacher,reconstructed_abs_net_load_h6,delta_net_load_h6,2588.4067146314255,1639.727532850053,0.9701359768802204,-3.133548851530499e-05,0.9375,edge_pruned_ratio,1.0,0.0,"通过 predictions_test_reconstructed.parquet 在绝对净负荷空间复算"
direct_symbolic_formula,paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s1_delta_net_load_h6,formula,reconstructed_abs_net_load_h6,delta_net_load_h6,2588.407421289137,1639.732953196752,0.9701359605739382,-3.160850583161512e-05,5.0,sympy_node_count,1.0000002730087614,0.0007066577113619132,"canonical direct strict symbolic；与 direct teacher 几乎等价，但仍需与 S3 结果分对象叙述"
s3_composite_predictor,paperref_20260306_121725_v2__s3_combo_net_load,composite_predictor,abs_net_load_h6,net_load_h6,1254.6153429105284,821.836110164776,0.9929837595159707,0.5153250220130433,,,1.0,0.0,"由 load / wind / solar 三路 predictor 结构化组合得到；wind 分量自动选到更优的 s0p teacher"
s3_composite_formula,paperref_20260306_121725_v2__s3_combo_net_load__formula,composite_formula,abs_net_load_h6,net_load_h6,2644.3554228954085,1706.3550527965067,0.9688309954390453,-0.021436585930743268,310.0,sympy_node_count,2.1077021238723908,1389.7400799848801,"由 load / wind / solar 三条局部公式显式组合得到；2026-04-18 symbolic refresh 后 transfer gap 收窄但仍存在"
