run_id,phase,kind,target_col,rmse,mae,r2,rmse_persistence,skill_score,complexity,complexity_name,physical_score,param_count,compute_time_s,path,pareto_optimal
paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_solar_delta_h6,03-symbolic-extraction,kan_symbolic,delta_solar_h6,2317.5886868416706,1196.858399137521,0.953492300973527,2424.066596385427,0.04392532354619627,127.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_solar_delta_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s0p_solar_delta_h6,03-symbolic-extraction,kan_symbolic,delta_solar_h6,2400.9023724840854,1459.8798660031612,0.9500884415751387,2424.066596385427,0.009555935441659225,259.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s0p_solar_delta_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_99_paperref_20260306_121725_v2_s0p_solar_delta_h6,03-symbolic-extraction,kan_symbolic,delta_solar_h6,2405.4254081970266,1431.8885395063976,0.9499002086760716,2424.066596385427,0.007690047879128747,239.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_99_paperref_20260306_121725_v2_s0p_solar_delta_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s0p_solar_delta_h6,03-symbolic-extraction,kan_symbolic,delta_solar_h6,2405.4254081970266,1431.8885395063976,0.9499002086760716,2424.066596385427,0.007690047879128747,239.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s0p_solar_delta_h6,False
paperref_20260306_121725_v2__s1_delta_net_load_h6,02-kan-training,s1_delta_net_load_h6,delta_net_load_h6,2588.4067146314255,1639.727532850053,0.9701359768802204,2588.3256081840564,-3.133548851530499e-05,0.9375,edge_pruned_ratio,,,104.439918,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_98_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.407421289137,1639.732953196752,0.9701359605739382,2588.3256081840564,-3.160850583161512e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_98_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_99_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.407421289137,1639.732953196752,0.9701359605739382,2588.3256081840564,-3.160850583161512e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_99_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.407421289137,1639.732953196752,0.9701359605739382,2588.3256081840564,-3.160850583161512e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_r2_0_995_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_strict_poly4_r2_0_99_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.407421289137,1639.732953196752,0.9701359605739382,2588.3256081840564,-3.160850583161512e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_poly4_r2_0_99_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_strict_poly4_r2_0_995_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.407421289137,1639.732953196752,0.9701359605739382,2588.3256081840564,-3.160850583161512e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_poly4_r2_0_995_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_strict_poly4_r2_0_999_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.407421289137,1639.732953196752,0.9701359605739382,2588.3256081840564,-3.160850583161512e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_strict_poly4_r2_0_999_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_medium_r2_0_98_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.4074945090383,1639.7333156887514,0.9701359588843727,2588.3256081840564,-3.163679435203015e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_medium_r2_0_98_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_medium_r2_0_99_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.4074945090383,1639.7333156887514,0.9701359588843727,2588.3256081840564,-3.163679435203015e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_medium_r2_0_99_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__sym_medium_r2_0_995_paperref_20260306_121725_v2_s1_delta_net_load_h6,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2588.4074945090383,1639.7333156887514,0.9701359588843727,2588.3256081840564,-3.163679435203015e-05,5.0,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__sym_medium_r2_0_995_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
paperref_20260306_121725_v2__baseline_torch_mlp_paperref_20260306_121725_v2_s1_delta_net_load_h6,04-baselines-torch,mlp,delta_net_load_h6,2595.537127802705,1671.0162929021214,0.9699712144233006,2588.3256082058656,-0.0027861717142452225,3169.0,param_count,,3169.0,8.514958,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__baseline_torch_mlp_paperref_20260306_121725_v2_s1_delta_net_load_h6,False
