feature,active_edges,active_ratio
hour_sin,3,1.0
hour_cos,3,1.0
hdd_18c,2,0.6666666666666666
month_cos,1,0.3333333333333333
is_night,1,0.3333333333333333
load_lag_12,1,0.3333333333333333
load_lag_24,1,0.3333333333333333
dow_sin,0,0.0
dow_cos,0,0.0
month_sin,0,0.0
temp_2m_c,0,0.0
cdd_18c,0,0.0
surface_pressure_hpa,0,0.0
load_lag_48,0,0.0
