feature,active_edges,active_ratio
hour_sin,3,1.0
hour_cos,3,1.0
month_cos,3,1.0
solar_altitude,3,1.0
solar_azimuth,3,1.0
ghi_w_m2,3,1.0
ghi_day_w_m2,3,1.0
ghi_temp_corr_w_m2,3,1.0
temp_2m_c,3,1.0
is_night,2,0.6666666666666666
solar_lag_12,2,0.6666666666666666
solar_lag_24,2,0.6666666666666666
solar_lag_48,1,0.3333333333333333
dow_sin,0,0.0
dow_cos,0,0.0
month_sin,0,0.0
