feature,active_edges,active_ratio
wind_speed_hub_est,4,1.0
wind_lag_24,4,1.0
hour_sin,3,0.75
hour_cos,3,0.75
dow_cos,3,0.75
month_cos,3,0.75
wind_speed_10m_m_s,3,0.75
wind_speed_10m_m_s_cubed,3,0.75
dow_sin,2,0.5
wind_lag_48,2,0.5
month_sin,1,0.25
