run_id,phase,kind,target_col,rmse,mae,r2,rmse_persistence,skill_score,complexity,complexity_name,physical_score,param_count,compute_time_s,path,pareto_optimal
symbolic_refresh_20260418__s3_combo_net_load_probe,05-structured-combination,net_load_from_components,net_load_h6,1254.6153429105284,821.836110164776,0.9929837595159707,2588.7940995084596,0.5153250220130433,,,,,5.447499,/Users/vfch/Documents/project/graduation-design/runs/symbolic_refresh_20260418__s3_combo_net_load_probe,False
paperref_20260306_121725_v2__s3_combo_net_load,05-structured-combination,net_load_from_components,net_load_h6,1407.476893600168,1043.1740787982853,0.9911698958666236,2588.7940995084596,0.4562348058762252,,,,,4.219848,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s3_combo_net_load,False
symbolic_refresh_20260418__s3_combo_net_load_probe__formula,05-structured-combination,s3_composite_formula,net_load_h6,2644.3554228954085,1706.3550527965067,0.9688309954390453,2588.7940995084596,-0.021436585930743268,310,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/symbolic_refresh_20260418__s3_combo_net_load_probe,True
paperref_20260306_121725_v2__s3_combo_net_load__formula,05-structured-combination,s3_composite_formula,net_load_h6,3015.5813170806387,1933.8717857327324,0.9594654491041293,2588.7940995084596,-0.16501865662799853,493,sympy_node_count,,,,/Users/vfch/Documents/project/graduation-design/runs/paperref_20260306_121725_v2__s3_combo_net_load,False
