run_id,kind,rmse_unpruned,rmse_pruned,rmse_degrade_ratio,pruned_ratio,pruned_edges,total_edges,sparsify_lamb,sparsify_lamb_l1,sparsify_lamb_entropy,max_train_rows,compute_time_s
2026-02-26_055200_958b3949,kan_no_l1,1399.2721667613134,1241.4561188258294,0.8872156170298469,0.9,45,50,0.01,0.0,2.0,,412.75394
2026-02-26_053425_2e4bc623,kan_full,1399.2713177611522,2458.384876869825,1.7569036438217462,0.92,46,50,0.01,1.0,2.0,,492.151136
2026-02-26_054408_f605ac11,kan_no_entropy,1399.2712637075158,3629.641845089241,2.5939515369393957,0.92,69,75,0.01,1.0,0.0,,391.137154
2026-02-26_060024_d6250f56,kan_no_magnitude,1399.2762316854207,6266.543299668545,4.478417597446451,0.96,240,250,0.0,1.0,2.0,,324.728005
