ts,stage,step,train_loss,val_loss,reg
2026-03-02T11:43:22.513560+00:00,warmup,0,0.9990178346633911,0.8031933307647705,0.0
2026-03-02T11:43:22.525780+00:00,warmup,1,0.9933944940567017,0.7972720265388489,0.0
2026-03-02T11:43:22.527237+00:00,warmup,2,0.9902535080909729,0.7938268184661865,0.0
2026-03-02T11:43:22.528424+00:00,warmup,3,0.988279402256012,0.791425347328186,0.0
2026-03-02T11:43:22.529434+00:00,warmup,4,0.9862942099571228,0.7893447279930115,0.0
2026-03-02T11:43:22.530774+00:00,warmup,5,0.9839692115783691,0.7875187397003174,0.0
2026-03-02T11:43:22.532305+00:00,warmup,6,0.9814605116844177,0.7860239744186401,0.0
2026-03-02T11:43:22.535372+00:00,warmup,7,0.9789971113204956,0.7848503589630127,0.0
2026-03-02T11:43:22.538185+00:00,warmup,8,0.9767394065856934,0.7838706970214844,0.0
2026-03-02T11:43:22.540634+00:00,warmup,9,0.9747627973556519,0.7828764319419861,0.0
2026-03-02T11:43:22.543379+00:00,warmup,10,0.9730450510978699,0.7816365361213684,0.0
2026-03-02T11:43:22.545211+00:00,warmup,11,0.9714701771736145,0.7800111770629883,0.0
2026-03-02T11:43:22.548977+00:00,warmup,12,0.9699234962463379,0.7780503034591675,0.0
2026-03-02T11:43:22.562137+00:00,warmup,13,0.9684026837348938,0.7759889364242554,0.0
2026-03-02T11:43:22.563711+00:00,warmup,14,0.967034637928009,0.7741254568099976,0.0
2026-03-02T11:43:22.565705+00:00,warmup,15,0.9659721255302429,0.7726379036903381,0.0
2026-03-02T11:43:22.567042+00:00,warmup,16,0.9652411937713623,0.771530032157898,0.0
2026-03-02T11:43:22.569589+00:00,warmup,17,0.9647306203842163,0.7708065509796143,0.0
2026-03-02T11:43:22.571204+00:00,warmup,18,0.9643374681472778,0.770512044429779,0.0
2026-03-02T11:43:22.577618+00:00,warmup,19,0.964061975479126,0.7705141305923462,0.0
2026-03-02T11:43:22.579215+00:00,warmup,20,0.9639402031898499,0.7704975605010986,0.0
2026-03-02T11:43:22.580269+00:00,warmup,21,0.9638859033584595,0.7702476382255554,0.0
2026-03-02T11:43:22.581333+00:00,warmup,22,0.963687002658844,0.7697182893753052,0.0
2026-03-02T11:43:22.582355+00:00,warmup,23,0.9632241129875183,0.7690074443817139,0.0
2026-03-02T11:43:22.583815+00:00,warmup,24,0.9625893831253052,0.7682984471321106,0.0
2026-03-02T11:43:22.584772+00:00,warmup,25,0.9619302749633789,0.7677810192108154,0.0
2026-03-02T11:43:22.585680+00:00,warmup,26,0.9612892866134644,0.7675204277038574,0.0
2026-03-02T11:43:22.586595+00:00,warmup,27,0.9606344699859619,0.7674411535263062,0.0
2026-03-02T11:43:22.587793+00:00,warmup,28,0.9599844217300415,0.7674797177314758,0.0
2026-03-02T11:43:22.588941+00:00,warmup,29,0.9594129323959351,0.7676135897636414,0.0
2026-03-02T11:43:22.590246+00:00,warmup,30,0.9589644074440002,0.7677462100982666,0.0
2026-03-02T11:43:22.592022+00:00,warmup,31,0.958607017993927,0.7677301168441772,0.0
2026-03-02T11:43:22.593221+00:00,warmup,32,0.9582778215408325,0.7675175666809082,0.0
2026-03-02T11:43:22.594359+00:00,warmup,33,0.9579488635063171,0.7672032117843628,0.0
2026-03-02T11:43:22.595500+00:00,warmup,34,0.9576320052146912,0.7669108510017395,0.0
2026-03-02T11:43:22.596542+00:00,warmup,35,0.957330584526062,0.7666855454444885,0.0
2026-03-02T11:43:22.597722+00:00,warmup,36,0.9570152759552002,0.7665191888809204,0.0
2026-03-02T11:43:22.599642+00:00,warmup,37,0.9566574096679688,0.7664182782173157,0.0
2026-03-02T11:43:22.601096+00:00,warmup,38,0.9562681317329407,0.7663578987121582,0.0
2026-03-02T11:43:22.602261+00:00,warmup,39,0.9558780193328857,0.7662282586097717,0.0
2026-03-02T11:43:22.603663+00:00,warmup,40,0.9554905891418457,0.7659232020378113,0.0
