label,run_id,object_type,target_col,key_terms,far,tgr,skill_score,complexity,complexity_name,formula_png,formula_sympy_path,notes
direct_collapsed_formula,2026-03-01_160200_sym_strict_r2_0_995__kan151000,direct_symbolic,delta_net_load_h6,"load lag dominated; no stable physical variable",0/9,1.690,0.07626655509939784,95,sympy_node_count,doc/paper_assets/paper_delivery_20260306/formula_2026-03-01_160200_sym_strict_r2_0_995__kan151000.png,runs/2026-03-01_160200_sym_strict_r2_0_995__kan151000/artifacts/formula.sympy.txt,"canonical collapse example; direct route failure control"
load_local_formula,paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_load_delta_h6,local_symbolic,delta_load_h6,"load_lag_6, hdd_18c, hour/month cyclic terms",3/3,2.569,-1.7745123965291865,108,sympy_node_count,doc/paper_assets/paper_delivery_20260306/formula_paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_load_delta_h6.png,runs/paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_load_delta_h6/artifacts/formula.sympy.txt,"S3 load sub-formula; temperature proxy survives"
wind_local_formula,paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s0p_wind_delta_h6,local_symbolic,delta_wind_h6,"wind lags, ghi_day, ghi_temp_corr, temp proxy",3/3,1.401,-0.4171923454393287,148,sympy_node_count,doc/paper_assets/paper_delivery_20260306/formula_paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s0p_wind_delta_h6.png,runs/paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s0p_wind_delta_h6/artifacts/formula.sympy.txt,"wind boundary example; raw wind term is less stable than proxy structure"
solar_local_formula,paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_solar_delta_h6,local_symbolic,delta_solar_h6,"ghi, ghi_day, solar_altitude, solar lag terms",3/3,2.302,0.04392532354619627,127,sympy_node_count,doc/paper_assets/paper_delivery_20260306/formula_paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_solar_delta_h6.png,runs/paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_solar_delta_h6/artifacts/formula.sympy.txt,"solar positive control; irradiance terms survive across configs"
