run_id,phase,kind,target_col,rmse,mae,r2,rmse_persistence,skill_score,complexity,complexity_name
2026-03-01_160200_sym_strict_r2_0_995__kan151000,03-symbolic-extraction,kan_symbolic,delta_net_load_h6,2388.463031312768,1810.9998628061317,0.974515954928134,2585.6626113280736,0.07626655509939784,95.0,sympy_node_count
paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_load_delta_h6,03-symbolic-extraction,kan_symbolic,delta_load_h6,1974.305749691209,1368.1411175544224,0.8175000888126264,711.5865664038818,-1.7745123965291865,108.0,sympy_node_count
paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s3_comp_solar_delta_h6,03-symbolic-extraction,kan_symbolic,delta_solar_h6,2317.5886868416706,1196.858399137521,0.953492300973527,2424.066596385427,0.04392532354619627,127.0,sympy_node_count
paperref_20260306_121725_v2__sym_strict_r2_0_999_paperref_20260306_121725_v2_s0p_wind_delta_h6,03-symbolic-extraction,kan_symbolic,delta_wind_h6,1324.0809795636644,1054.3881228438938,0.9865219007087259,934.2987095750931,-0.4171923454393287,148.0,sympy_node_count
paperref_20260306_121725_v2__s3_combo_net_load,05-structured-combination,net_load_from_components,net_load_h6,1407.3511329370697,1043.1587961070986,0.991169210855008,2588.3256081840564,0.45622108395101035,,
