run_id,kind,target_col,horizon_steps,abs_test_rmse,abs_test_r2,abs_test_rmse_persist,abs_test_skill,delta_test_rmse,delta_test_r2,delta_val_rmse,delta_val_r2,ghi_edges
2026-03-04_120746_93a46524,ablate_solar_h72_lags_only,delta_solar_h72,72,6015.389939727645,0.6928819580482809,15683.196004128917,0.6164436165852947,6037.598252424135,0.8519693185369448,10486.098015112513,0.6389495627785582,0
2026-03-04_120749_01834d3e,ablate_solar_h72_meteo_only,delta_solar_h72,72,5447.626400392319,0.7481207498448471,15683.196004128917,0.6526456470378792,5452.823237946903,0.8792558343100628,5994.2211107486855,0.8820207672925309,6
2026-03-04_120745_b455d7bc,ablate_solar_h72_both,delta_solar_h72,72,4377.215096413102,0.8373801572830938,15683.196004128917,0.7208977624675026,4385.283359264178,0.9219058256313858,4968.608782310338,0.9189394296860548,8
2026-03-04_121143_04bfbfc0,ablate_solar_h144_lags_only,delta_solar_h144,144,6566.102980061466,0.6335049484227302,18652.094389503272,0.6479696680198749,6555.680179790784,0.8763223398403402,7373.635781262851,0.888568769637229,0
2026-03-04_121145_74997b1b,ablate_solar_h144_meteo_only,delta_solar_h144,144,6642.944687334716,0.624876727658283,18652.094389503272,0.6438499318836213,6632.450643696178,0.8734087181918639,7626.31547589935,0.8808008673650377,3
2026-03-04_121143_49a2af36,ablate_solar_h144_both,delta_solar_h144,144,8717.80918680897,0.3539480319551431,18652.094389503272,0.5326096359605043,8703.258375295096,0.7820185700803891,12787.470630222197,0.6648703442612501,0
2026-03-04_121143_c00221d5,ablate_solar_h576_lags_only,delta_solar_h576,576,5763.613860783364,0.7211880590753467,7089.804011524741,0.18705596777930755,5798.431939744972,0.320158965934487,6582.113683935052,-0.025916840855124912,0
2026-03-04_121142_9dd9aa4a,ablate_solar_h576_meteo_only,delta_solar_h576,576,5400.1835364093085,0.75524100772134,7089.804011524741,0.23831695098607686,5437.803642943483,0.4020934802079873,7631.281014045983,-0.3790381907328304,5
2026-03-04_121144_d6b684d1,ablate_solar_h576_both,delta_solar_h576,576,5511.016346076143,0.745091091205073,7089.804011524741,0.22268424668470665,5584.729480649343,0.3693469088820137,7720.839454520683,-0.4115960838452082,2
